,Idx,UserInfo_1,UserInfo_2,UserInfo_3,UserInfo_4,WeblogInfo_1,WeblogInfo_2,WeblogInfo_3,WeblogInfo_4,WeblogInfo_5,WeblogInfo_6,WeblogInfo_7,WeblogInfo_8,WeblogInfo_9,WeblogInfo_10,WeblogInfo_11,WeblogInfo_12,WeblogInfo_13,WeblogInfo_14,WeblogInfo_15,WeblogInfo_16,WeblogInfo_17,WeblogInfo_18,UserInfo_5,UserInfo_6,UserInfo_7,UserInfo_8,UserInfo_9,UserInfo_10,UserInfo_11,UserInfo_12,UserInfo_13,UserInfo_14,UserInfo_15,UserInfo_16,UserInfo_17,UserInfo_18,UserInfo_19,UserInfo_20,UserInfo_21,UserInfo_22,UserInfo_23,UserInfo_24,Education_Info1,Education_Info2,Education_Info3,Education_Info4,Education_Info5,Education_Info6,Education_Info7,Education_Info8,WeblogInfo_19,WeblogInfo_20,WeblogInfo_21,WeblogInfo_23,WeblogInfo_24,WeblogInfo_25,WeblogInfo_26,WeblogInfo_27,WeblogInfo_28,WeblogInfo_29,WeblogInfo_30,WeblogInfo_31,WeblogInfo_32,WeblogInfo_33,WeblogInfo_34,WeblogInfo_35,WeblogInfo_36,WeblogInfo_37,WeblogInfo_38,WeblogInfo_39,WeblogInfo_40,WeblogInfo_41,WeblogInfo_42,WeblogInfo_43,WeblogInfo_44,WeblogInfo_45,WeblogInfo_46,WeblogInfo_47,WeblogInfo_48,WeblogInfo_49,WeblogInfo_50,WeblogInfo_51,WeblogInfo_52,WeblogInfo_53,WeblogInfo_54,WeblogInfo_55,WeblogInfo_56,WeblogInfo_57,WeblogInfo_58,ThirdParty_Info_Period1_1,ThirdParty_Info_Period1_2,ThirdParty_Info_Period1_3,ThirdParty_Info_Period1_4,ThirdParty_Info_Period1_5,ThirdParty_Info_Period1_6,ThirdParty_Info_Period1_7,ThirdParty_Info_Period1_8,ThirdParty_Info_Period1_9,ThirdParty_Info_Period1_10,ThirdParty_Info_Period1_11,ThirdParty_Info_Period1_12,ThirdParty_Info_Period1_13,ThirdParty_Info_Period1_14,ThirdParty_Info_Period1_15,ThirdParty_Info_Period1_16,ThirdParty_Info_Period1_17,ThirdParty_Info_Period2_1,ThirdParty_Info_Period2_2,ThirdParty_Info_Period2_3,ThirdParty_Info_Period2_4,ThirdParty_Info_Period2_5,ThirdParty_Info_Period2_6,ThirdParty_Info_Period2_7,ThirdParty_Info_Period2_8,ThirdParty_Info_Period2_9,ThirdParty_Info_Period2_10,ThirdParty_Info_Period2_11,ThirdParty_Info_Period2_12,ThirdParty_Info_Period2_13,ThirdParty_Info_Period2_14,ThirdParty_Info_Period2_15,ThirdParty_Info_Period2_16,ThirdParty_Info_Period2_17,ThirdParty_Info_Period3_1,ThirdParty_Info_Period3_2,ThirdParty_Info_Period3_3,ThirdParty_Info_Period3_4,ThirdParty_Info_Period3_5,ThirdParty_Info_Period3_6,ThirdParty_Info_Period3_7,ThirdParty_Info_Period3_8,ThirdParty_Info_Period3_9,ThirdParty_Info_Period3_10,ThirdParty_Info_Period3_11,ThirdParty_Info_Period3_12,ThirdParty_Info_Period3_13,ThirdParty_Info_Period3_14,ThirdParty_Info_Period3_15,ThirdParty_Info_Period3_16,ThirdParty_Info_Period3_17,ThirdParty_Info_Period4_1,ThirdParty_Info_Period4_2,ThirdParty_Info_Period4_3,ThirdParty_Info_Period4_4,ThirdParty_Info_Period4_5,ThirdParty_Info_Period4_6,ThirdParty_Info_Period4_7,ThirdParty_Info_Period4_8,ThirdParty_Info_Period4_9,ThirdParty_Info_Period4_10,ThirdParty_Info_Period4_11,ThirdParty_Info_Period4_12,ThirdParty_Info_Period4_13,ThirdParty_Info_Period4_14,ThirdParty_Info_Period4_15,ThirdParty_Info_Period4_16,ThirdParty_Info_Period4_17,ThirdParty_Info_Period5_1,ThirdParty_Info_Period5_2,ThirdParty_Info_Period5_3,ThirdParty_Info_Period5_4,ThirdParty_Info_Period5_5,ThirdParty_Info_Period5_6,ThirdParty_Info_Period5_7,ThirdParty_Info_Period5_8,ThirdParty_Info_Period5_9,ThirdParty_Info_Period5_10,ThirdParty_Info_Period5_11,ThirdParty_Info_Period5_12,ThirdParty_Info_Period5_13,ThirdParty_Info_Period5_14,ThirdParty_Info_Period5_15,ThirdParty_Info_Period5_16,ThirdParty_Info_Period5_17,ThirdParty_Info_Period6_1,ThirdParty_Info_Period6_2,ThirdParty_Info_Period6_3,ThirdParty_Info_Period6_4,ThirdParty_Info_Period6_5,ThirdParty_Info_Period6_6,ThirdParty_Info_Period6_7,ThirdParty_Info_Period6_8,ThirdParty_Info_Period6_9,ThirdParty_Info_Period6_10,ThirdParty_Info_Period6_11,ThirdParty_Info_Period6_12,ThirdParty_Info_Period6_13,ThirdParty_Info_Period6_14,ThirdParty_Info_Period6_15,ThirdParty_Info_Period6_16,ThirdParty_Info_Period6_17,ThirdParty_Info_Period7_1,ThirdParty_Info_Period7_2,ThirdParty_Info_Period7_3,ThirdParty_Info_Period7_4,ThirdParty_Info_Period7_5,ThirdParty_Info_Period7_6,ThirdParty_Info_Period7_7,ThirdParty_Info_Period7_8,ThirdParty_Info_Period7_9,ThirdParty_Info_Period7_10,ThirdParty_Info_Period7_11,ThirdParty_Info_Period7_12,ThirdParty_Info_Period7_13,ThirdParty_Info_Period7_14,ThirdParty_Info_Period7_15,ThirdParty_Info_Period7_16,ThirdParty_Info_Period7_17,SocialNetwork_1,SocialNetwork_2,SocialNetwork_3,SocialNetwork_4,SocialNetwork_5,SocialNetwork_6,SocialNetwork_7,SocialNetwork_8,SocialNetwork_9,SocialNetwork_10,SocialNetwork_11,SocialNetwork_12,SocialNetwork_13,SocialNetwork_14,SocialNetwork_15,SocialNetwork_16,SocialNetwork_17,target,ListingInfo
0,10001,1.0,深圳,4.0,深圳,,1.0,,1.0,1.0,1.0,14,0,0,0,0,0,0,6,6,0,6,2,2,2,广东,深圳,中国移动 ,0,,,,2,2,1,1,29,四川省,南充市,0,D,D,D,0,E,E,E,0,E,E,E,I,I5,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,47,167,0,25,65,68,34,2,1,10,63,27489,0,18900,6083,2506,25,78,312,0,46,14,186,112,1,1,16,0,33477,0,642,19267,13568,36,79,394,0,55,6,244,144,6,3,12,1,53440,0,184,30284,22972,4,56,176,0,47,1,134,41,0,0,5,1,13379,0,0,9297,4082,0,98,277,0,45,10,193,74,1,1,10,0,23516,0,1571,16882,5063,0,45,81,0,20,3,53,25,1,1,4,0,10180,0,199,6969,3012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,126,234,222,-1,0,0,0,0,0,1,0,2014/3/5
1,10002,1.0,温州,4.0,温州,,0.0,,1.0,1.0,1.0,14,0,0,0,0,0,0,0,0,7,7,0,2,2,浙江,温州,中国移动 ,1,0.0,0.0,1.0,3,3,2,2,28,福建省,不详,0,D,D,D,0,E,E,E,0,E,E,E,I,I5,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,105,40,2,132,39,2,1,8,0,3839,9558,49,9571,3777,7,1,118,152,56,4,219,47,8,5,13,0,15870,16325,186,26656,5353,1,0,205,247,74,0,387,65,7,5,19,0,20784,30202,0,42483,8503,0,0,302,295,81,1,487,109,11,5,22,1,29389,39214,29,54055,14519,0,0,299,267,75,0,474,92,11,5,11,0,24692,30781,0,46372,9101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,33,110,1,-1,0,0,0,0,0,2,0,2014/2/26
2,10003,1.0,宜昌,3.0,宜昌,,0.0,,2.0,2.0,2.0,9,3,0,0,0,0,0,0,0,3,4,2,2,2,湖北,宜昌,中国电信 ,0,0.0,0.0,1.0,4,4,2,1,32,湖北省,宜昌市,0,D,D,D,0,E,E,E,0,E,E,E,I,I5,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,2,50,50,49,0,78,22,0,0,7,0,3578,5360,0,4646,4292,0,0,68,29,35,0,85,12,0,0,6,1,5435,5126,0,5552,5009,1,2,56,44,41,1,72,27,0,0,3,0,4940,3706,40,3712,4894,14,1,50,50,33,7,82,11,0,0,7,0,3660,3732,379,6075,938,1,0,71,29,43,2,79,19,0,0,4,0,7540,3703,240,6547,4456,0,2,69,31,29,1,75,24,0,0,5,1,12123,8355,51,9153,11274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,2014/2/28
3,10006,4.0,南平,1.0,南平,,,,,,,2,0,0,0,0,0,0,0,0,0,2,0,2,2,福建,南平,中国移动 ,0,0.0,0.0,1.0,2,2,1,1,33,江西省,不详,0,D,D,D,0,E,E,E,0,E,E,E,I,I5,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,9,54,56,125,38,0,136,45,2,1,9,0,3805,9765,0,10461,3109,6,58,97,171,56,1,201,66,0,0,15,1,6514,14745,365,14464,6430,2,67,99,165,48,2,173,89,0,0,15,0,7015,10649,86,11083,6495,25,43,94,123,47,2,164,51,0,0,11,0,6028,7177,30,10586,2589,9,54,78,137,46,2,162,51,0,0,9,0,7900,11268,1163,12078,5927,11,80,101,145,60,1,199,46,0,0,8,0,6889,10540,40,13135,4254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,2014/2/25
4,10007,5.0,辽阳,1.0,辽阳,,0.0,,1.0,1.0,1.0,3,0,0,0,0,0,0,0,0,0,3,0,2,2,辽宁,辽阳,中国移动 ,0,,,,3,3,1,1,43,辽宁省,锦州市,0,D,D,D,0,E,E,E,0,E,E,E,I,,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,5,39,34,36,73,0,0,1,1,5,0,561,792,1353,0,0,8,21,125,65,57,190,0,0,2,1,12,0,1945,1434,3379,0,0,3,22,132,81,78,213,0,0,0,0,9,0,1899,1265,3164,0,0,0,12,99,63,47,162,0,0,0,0,9,0,1361,687,2048,0,0,0,20,145,91,58,236,0,0,0,0,17,0,1611,1066,2677,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,2014/2/27
5,10008,1.0,吴忠,5.0,银川,,0.0,,2.0,2.0,2.0,4,0,0,0,0,0,0,0,1,1,2,0,2,2,不详,不详,不详,0,,,,4,4,2,1,24,山东省,不详,0,D,D,D,0,E,E,E,0,E,E,E,I,I5,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,31,43,233,205,80,3,332,103,0,0,22,0,21435,18304,86,27776,11877,37,49,577,517,113,9,902,183,0,0,40,0,47917,47299,402,77068,17746,96,50,492,418,98,9,730,171,0,0,37,0,39718,38694,460,63383,14569,74,117,537,465,93,10,787,205,0,0,39,0,48426,38670,1236,71702,14158,102,134,970,1084,132,17,1654,383,0,0,52,0,95252,92229,851,142299,44331,93,77,845,1181,137,7,1609,410,0,0,59,1,74471,89893,305,124600,39459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,2014/2/27
6,10011,1.0,绵阳,3.0,赤峰,,0.0,,13.0,1.0,13.0,15,0,0,0,0,0,0,0,2,2,10,1,2,2,内蒙古,包头,中国移动 ,1,1.0,0.0,0.0,2,2,1,1,33,内蒙古自治区,赤峰市,0,D,D,D,0,E,E,E,0,E,E,E,I,I4,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6,3,64,29,33,93,0,0,0,0,7,0,8527,4791,13318,0,0,20,4,115,51,47,166,0,0,0,0,8,0,14576,7975,22551,0,0,16,1,111,60,63,171,0,0,0,0,8,1,13322,10103,23425,0,0,2,0,26,2,13,28,0,0,0,0,1,0,3294,148,3442,0,0,12,1,97,34,48,131,0,0,0,0,6,2,13823,8672,22495,0,0,13,1,134,101,80,235,0,0,0,0,14,0,20031,12185,32216,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,81,25,14,-1,0,1,0,0,0,1,1,2014/2/24
7,10015,4.0,东莞,5.0,东莞,,0.0,,12.0,6.0,12.0,8,0,0,0,0,0,0,0,2,1,3,2,2,2,广东,广州,中国联通 ,1,,,,5,5,1,1,29,湖北省,荆州市,0,D,D,D,0,E,E,E,0,E,E,E,I,I5,D,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,44,123,559,-1,0,1,0,0,0,1,0,2014/2/28
8,10019,1.0,赤峰,6.0,赤峰,,0.0,,10.0,6.0,10.0,19,0,0,0,0,0,1,0,1,9,7,2,1,2,内蒙古,赤峰,中国移动 ,0,,,,3,3,1,1,29,内蒙古自治区,赤峰市,1,未婚,M,内蒙古自治区赤峰市喀喇沁旗,1,AM,毕业,T,0,E,E,E,I,C19,D,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,180,3,414,363,85,0,680,97,0,0,30,0,41210,27059,0,59862,8407,181,0,457,570,99,0,877,150,0,0,39,0,35419,37885,0,61943,11361,174,8,300,382,85,10,533,139,0,0,33,0,20547,18554,432,30721,7948,200,2,236,343,79,14,442,123,0,0,29,0,19263,21120,323,32183,7877,246,2,308,366,87,1,473,200,0,0,25,0,30495,23968,11,39113,15339,222,3,340,349,92,2,528,159,0,0,34,0,32727,26404,44,44455,14632,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,1,2014/2/24
9,10021,3.0,武汉,5.0,鄂州,,0.0,,1.0,1.0,1.0,6,0,0,0,0,0,0,0,0,1,3,2,1,1,湖北,鄂州,中国移动 ,0,,,,4,4,1,1,34,湖北省,鄂州市,0,D,D,D,0,E,E,E,0,E,E,E,I,I5,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,14,28,132,118,73,2,200,48,0,0,15,0,8624,7426,83,11327,4640,31,6,296,284,128,0,502,78,3,2,35,0,17487,15001,0,27482,5006,17,7,327,272,145,0,517,82,4,1,30,0,19586,14697,0,27929,6354,7,10,256,243,129,1,413,85,9,3,32,0,14928,15856,59,22321,8404,5,16,366,309,120,0,589,86,0,0,35,0,21355,16750,0,31249,6856,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,2014/2/27
